"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7286","View the Cash In and Cash Out page","chrome","2026-03-02","passed","2026-03-02","Cash In/Out","cash-in-out.feature.spec.js","",""
"","37351","Create a refund ticket and pay with Cash","chrome","2026-03-02","failed","2026-03-02","Refund","refund.feature.spec.js","",""
"","90054","Update gift card balance correctly after voiding a gift card payment and paying with cash","chrome","2026-03-02","broken","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","26100","Display Commission payroll details correctly in the payroll summary","chrome","2026-03-02","passed","2026-03-02","Quick payroll","quick-payroll.feature.spec.js","",""
"","22900","Sort Employee by Order","chrome","2026-03-02","passed","2026-03-02","Appointment","appointment.feature.spec.js","",""
"","4516","User can view the activity log page","chrome","2026-03-02","passed","2026-03-02","Activity Log","activity-log.feature.spec.js","",""
"","17505","Add service, remove Cash instead of Credit and adjust tip","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
"","18988","Manually adding increase a turn reorders the employee queue","chrome","2026-03-02","passed","2026-03-02","Turn details","turn-details.feature.spec.js","",""
"","16966","Display service hint and get default quick sale technician when create ticket","chrome","2026-03-02","passed","2026-03-02","Check In","check-in.feature.spec.js","",""
"","0","Update appointment status Complete","chrome","2026-03-02","skipped","2026-03-02","Appointment","appointment.feature.spec.js","",""
"","26821","Show earning today","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","27158","Technician report display correctly","chrome","2026-03-02","passed","2026-03-02","Close Out report","close-out.feature.spec.js","",""
"","23269","Synchronize","chrome","2026-03-02","passed","2026-03-02","Synchronize","synchronize.feature.spec.js","",""
"","11432","Card fee is calculated correctly for cash discounts","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","14164","Adjust turn - Move, Remove Move","chrome","2026-03-02","passed","2026-03-02","Turn details","turn-details.feature.spec.js","",""
"","4203","View the Timesheet page","chrome","2026-03-02","passed","2026-03-02","Timesheet","manager-timesheet.feature.spec.js","",""
"","26199","Change price, remove payment and adjust tip for Gift type","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
